Rank,team,G,W,L,W-L%,SRS,SOS,Wconference,Lconference,Whome,Lhome,Waway,Laway,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
213,North Florida,21,5,16,0.238,-15.91,-0.07,3,5,4,4,1,10,1717,1919,845,601,1323,0.454,248,689,0.36,267,341,0.783,197,664,314,118,33,271,391
214,North Texas,21,12,9,0.571,0.71,0.55,3,5,9,3,2,5,1463,1373,845,508,1181,0.43,130,408,0.319,315,459,0.686,242,711,269,198,99,264,420
215,Northeastern,20,6,14,0.3,-6.96,-2.61,2,7,2,5,3,9,1534,1621,805,556,1187,0.468,154,444,0.347,268,388,0.691,193,617,306,154,67,239,380
216,Northern Arizona,21,7,14,0.333,-10.22,-0.38,1,7,7,4,0,9,1527,1591,840,560,1191,0.47,155,417,0.372,252,380,0.663,179,664,292,152,57,237,361
217,Northern Colorado,21,11,10,0.524,-1.99,-1.82,1,7,5,3,5,6,1746,1638,860,637,1306,0.488,216,584,0.37,256,338,0.757,218,775,362,93,38,248,378
218,Northern Illinois,20,7,13,0.35,-11.1,-2.6,3,6,6,3,1,10,1471,1521,800,496,1167,0.425,172,535,0.321,307,454,0.676,275,733,262,130,31,304,387
219,Northern Iowa,22,13,9,0.591,5.16,1.68,5,6,9,3,3,5,1473,1335,890,546,1214,0.45,162,489,0.331,219,326,0.672,154,724,312,151,72,208,342
220,Northern Kentucky,22,14,8,0.636,-1.42,-4.58,6,5,10,3,4,5,1862,1678,885,654,1362,0.48,201,583,0.345,353,482,0.732,260,780,344,201,73,271,395
221,Northwestern,20,9,11,0.45,12.17,7.37,1,8,6,4,2,4,1530,1434,805,538,1157,0.465,123,397,0.31,331,444,0.745,193,662,356,107,77,168,363
222,Northwestern State,20,6,14,0.3,-8.98,-0.09,4,7,5,3,1,11,1451,1538,805,488,1075,0.454,132,380,0.347,343,462,0.742,179,605,245,139,39,242,353
223,Notre Dame,21,11,10,0.524,10.0,7.47,2,6,8,4,2,4,1555,1502,855,544,1214,0.448,179,504,0.355,288,412,0.699,242,789,253,92,46,242,370
224,Oakland,23,13,10,0.565,1.56,2.43,9,3,5,2,7,7,1929,1882,920,671,1410,0.476,164,470,0.349,423,566,0.747,254,807,362,175,79,234,342
225,Ohio,22,11,11,0.5,-4.26,0.34,5,5,8,4,2,5,1685,1701,885,602,1304,0.462,148,490,0.302,333,482,0.691,224,743,285,153,77,267,389
226,Ohio State,20,14,6,0.7,17.05,7.4,6,4,10,2,3,3,1644,1451,815,573,1155,0.496,157,465,0.338,341,435,0.784,206,712,308,104,50,217,356
227,Oklahoma,21,11,10,0.524,11.69,4.45,1,7,8,3,1,5,1753,1601,845,608,1310,0.464,204,585,0.349,333,450,0.74,258,801,312,133,86,214,369
