Name,ERA,IP,Age,FIP,xFIP,K_rate,BB_rate,K_9,BB_9,H_9,HR_9,last_name
John Curtiss,5.19,8.2,32,4.13,4.87,0.135,0.054000000000000006,5.19,2.08,10.38,1.04,Curtiss
Ryan Borucki,5.26,25.2,31,4.3,3.88,0.21,0.105,7.71,3.86,7.36,1.05,Borucki
Sam Moll,5.63,8.0,33,4.34,4.02,0.25,0.139,10.13,5.63,6.75,1.13,Moll
Mason Montgomery,5.74,31.1,25,4.47,3.77,0.285,0.132,11.78,5.46,9.48,1.44,Montgomery
Michael Darrell-Hicks,7.45,9.2,27,4.33,4.69,0.18600000000000003,0.09300000000000001,7.45,3.72,9.31,0.93,Darrell-Hicks
Noah Murdock,13.24,17.0,26,4.5,6.17,0.214,0.204,11.12,10.59,13.76,0.0,Murdock
Adam Ottavino,0.0,1.2,39,6.69,8.48,0.33299999999999996,0.444,16.2,21.6,0.0,0.0,Ottavino
Craig Kimbrel,0.0,1.0,37,4.09,4.09,0.33299999999999996,0.33299999999999996,9.0,9.0,9.0,0.0,Kimbrel
Tomas Nido,0.0,1.2,31,4.89,7.58,0.0,0.0,0.0,0.0,0.0,0.0,Nido
Jose Herrera,0.0,1.0,28,3.09,4.58,0.0,0.0,0.0,0.0,18.0,0.0,Herrera
Willi Castro,0.0,1.0,28,3.09,7.56,0.0,0.0,0.0,0.0,9.0,0.0,Castro
Jose Quijada,0.0,1.0,29,0.09,0.09,0.6,0.2,27.0,9.0,0.0,0.0,Quijada
Garrett Hampson,0.0,1.0,30,3.09,4.58,0.0,0.0,0.0,0.0,0.0,0.0,Hampson
Nicky Lopez,0.0,0.1,30,12.09,16.56,0.0,0.5,0.0,27.0,0.0,0.0,Lopez
Weston Wilson,0.0,3.0,30,3.09,5.58,0.0,0.0,0.0,0.0,9.0,0.0,Wilson
Miles Mastrobuoni,0.0,1.0,29,9.09,12.07,0.0,0.33299999999999996,0.0,18.0,9.0,0.0,Mastrobuoni
Alan Trejo,0.0,1.0,29,3.09,3.09,0.0,0.0,0.0,0.0,9.0,0.0,Trejo
Jhonathan Diaz,0.0,1.1,28,1.59,3.83,0.2,0.0,6.75,0.0,6.75,0.0,Diaz
Jared Young,0.0,0.1,29,12.09,16.56,0.0,0.33299999999999996,0.0,27.0,27.0,0.0,Young
Leonardo Rivas,0.0,1.0,27,6.09,7.58,0.0,0.16699999999999998,0.0,9.0,27.0,0.0,Rivas
Brooks Kriske,0.0,5.0,31,3.89,5.68,0.2,0.2,7.2,7.2,3.6,0.0,Kriske
Cesar Salazar,0.0,1.0,29,6.09,10.56,0.0,0.0,0.0,0.0,0.0,0.0,Salazar
Sauryn Lao,0.0,1.2,25,-0.51,1.28,0.375,0.0,16.2,0.0,16.2,0.0,Lao
Jacob Amaya,0.0,1.0,26,3.09,7.56,0.0,0.0,0.0,0.0,0.0,0.0,Amaya
Luis Vazquez,0.0,3.1,25,3.99,4.89,0.0,0.091,0.0,2.7,8.1,0.0,Vazquez
Ezequiel Duran,0.0,3.0,26,3.09,6.07,0.0,0.0,0.0,0.0,3.0,0.0,Duran
Willie MacIver,0.0,2.0,28,3.09,4.58,0.0,0.0,0.0,0.0,18.0,0.0,MacIver
Nate Eaton,0.0,1.0,28,3.09,4.58,0.0,0.0,0.0,0.0,18.0,0.0,Eaton
Yaramil Hiraldo,0.0,1.1,29,1.59,3.83,0.2,0.0,6.75,0.0,6.75,0.0,Hiraldo
Michael Stefanic,0.0,1.0,29,3.09,7.56,0.0,0.0,0.0,0.0,0.0,0.0,Stefanic
Alec Burleson,0.0,1.0,26,6.09,7.58,0.0,0.0,0.0,0.0,9.0,0.0,Burleson
Christian Koss,0.0,1.0,27,3.09,6.07,0.0,0.0,0.0,0.0,9.0,0.0,Koss
Bradgley Rodriguez,0.0,1.2,21,5.49,7.28,0.16699999999999998,0.16699999999999998,5.4,5.4,0.0,0.0,Rodriguez
Christian Montes De Oca,0.0,2.2,25,2.72,4.39,0.222,0.111,6.75,3.38,0.0,0.0,Oca
Gavin Hollowell,1.42,6.1,27,4.51,4.34,0.192,0.077,7.11,2.84,8.53,1.42,Hollowell
Kevin Herget,1.69,5.1,34,3.84,6.92,0.04,0.08,1.69,3.38,10.13,0.0,Herget
Nick Sandlin,2.2,16.1,28,4.56,4.8,0.23199999999999998,0.11599999999999999,8.82,4.41,6.06,1.1,Sandlin
Alan Rangel,2.25,8.0,27,4.59,5.58,0.152,0.091,5.63,3.38,10.13,1.13,Rangel
Andry Lara,2.35,7.2,22,3.75,4.72,0.147,0.11800000000000001,5.87,4.7,8.22,0.0,Lara
Justin Bruihl,2.57,7.0,28,4.24,3.66,0.313,0.125,12.86,5.14,11.57,1.29,Bruihl
Randy Wynne,3.0,3.0,32,6.43,5.07,0.231,0.077,9.0,3.0,9.0,3.0,Wynne
Tyler Owens,3.0,3.0,24,5.43,6.42,0.067,0.2,3.0,9.0,9.0,0.0,Owens
Ty Adcock,3.0,3.0,28,6.09,4.24,0.35700000000000004,0.14300000000000002,15.0,6.0,6.0,3.0,Adcock
A.J. Puk,3.38,8.0,30,4.47,2.89,0.34299999999999997,0.057,13.5,2.25,9.0,2.25,Puk
Jake Rogers,3.38,2.2,30,4.22,7.01,0.0,0.0,0.0,0.0,13.5,0.0,Rogers
JT Brubaker,3.46,13.0,31,3.71,4.97,0.157,0.13699999999999998,5.54,4.85,5.54,0.0,Brubaker
Jake Bauers,3.6,5.0,29,5.69,9.57,0.034,0.10300000000000001,1.8,5.4,14.4,0.0,Bauers
Wikelman Gonzalez,3.6,5.0,23,3.49,4.69,0.217,0.174,9.0,7.2,7.2,0.0,Gonzalez
Jose Trevino,3.86,2.1,32,3.52,7.35,0.083,0.083,3.86,3.86,15.43,0.0,Trevino
Marc Church,3.86,4.2,24,4.81,6.72,0.217,0.261,9.64,11.57,7.71,0.0,Church
Yosver Zulueta,3.86,2.1,27,3.52,5.44,0.125,0.125,3.86,3.86,0.0,0.0,Zulueta
Sean Reynolds,3.97,22.2,27,4.2,3.99,0.242,0.08800000000000001,8.74,3.18,6.35,1.19,Reynolds
Michael Petersen,4.05,6.2,31,4.44,4.28,0.179,0.071,6.75,2.7,9.45,1.35,Petersen
Kade Strowd,4.15,4.1,27,2.4,4.81,0.16699999999999998,0.055999999999999994,6.23,2.08,8.31,0.0,Strowd
Luis Guerrero,4.15,17.1,24,4.36,5.82,0.139,0.19399999999999998,5.19,7.27,4.67,0.0,Guerrero
Jake Woodford,4.35,10.1,28,4.35,4.68,0.122,0.08199999999999999,5.23,3.48,13.06,0.87,Woodford
Bryan Hudson,4.35,10.1,28,4.64,5.94,0.24100000000000002,0.222,11.32,10.45,6.97,0.0,Hudson
Bryce Jarvis,4.4,14.1,27,3.86,4.83,0.21,0.113,8.16,4.4,8.16,0.63,Jarvis
Jacob Stallings,4.5,2.0,35,2.09,4.33,0.125,0.0,4.5,0.0,9.0,0.0,Stallings
Luke Williams,4.5,4.0,28,4.84,3.83,0.188,0.0,6.75,0.0,9.0,2.25,Williams
Brett de Geus,4.5,2.0,27,7.59,9.08,0.0,0.3,0.0,13.5,4.5,0.0,Geus
Victor Mederos,4.5,4.0,24,4.84,5.59,0.222,0.222,9.0,9.0,4.5,0.0,Mederos
Brandyn Garcia,4.5,2.0,25,6.59,6.59,0.091,0.273,4.5,13.5,18.0,0.0,Garcia
Colin Selby,4.5,10.0,27,3.89,2.63,0.261,0.043,10.8,1.8,12.6,1.8,Selby
Brent Headrick,4.73,13.1,27,4.52,3.16,0.29600000000000004,0.055999999999999994,10.8,2.03,8.1,2.03,Headrick
Michael Fulmer,4.76,5.2,32,5.39,5.99,0.13,0.087,4.76,3.18,9.53,1.59,Fulmer
Omar Cruz,4.91,3.2,26,2.82,4.85,0.278,0.16699999999999998,12.27,7.36,9.82,0.0,Cruz
